Pemain;Klub;Posisi
Hermawan (pemain sepak bola);Arema Indonesia;Bek
Hermawan (pemain sepak bola);Deltras Sidoarjo;Bek
I Gusti Ngurah Bayu Sutha;Persema Malang;Bek
I Gusti Ngurah Bayu Sutha;Persib Bandung;Bek
I Gusti Ngurah Bayu Sutha;Perseden Denpasar;Bek
I Gusti Ngurah Bayu Sutha;Persegi Gianyar;Bek
I Gusti Ngurah Bayu Sutha;Pelita Jaya Purwakarta;Bek
Ilham Jaya Kesuma;Persisam Putra Samarinda;Penyerang
Ilham Jaya Kesuma;Persita Tangerang;Penyerang
Ilham Jaya Kesuma;Sriwijaya F.C.;Penyerang
Ilham Jaya Kesuma;Mitra Kukar;Penyerang
I Made Wirawan;Persiba Balikpapan;Penjaga gawang
I Made Wirawan;Persib Bandung;Penjaga gawang
Imanuel Permenas Padwa;Persipura Jayapura;Gelandang
Imanuel Permenas Padwa;Persiwa Wamena;Gelandang
Imanuel Permenas Padwa;Sriwijaya F.C.;Gelandang
Imanuel Wanggai;Persipura Jayapura;Gelandang
Irfan Raditya;PSDS Deli Serdang;Bek
Irfan Raditya;Pelita Bandung Raya;Bek
Irfan Raditya;Arema Indonesia (IPL);Bek
Irfan Raditya;Arema Indonesia;Bek
Irfan Raditya;Persiraja;Bek
Jack Komboy;Persipura Jayapura;Bek
Jack Komboy;PSM Makassar;Bek
Jaya Teguh Angga;Persema Malang;Penyerang
Jaya Teguh Angga;Arema Indonesia;Penyerang
Jhon van Beukering;De Graafschap;Penyerang
Jhon van Beukering;Dordrecht;Penyerang
Jhon van Beukering;Go Ahead Eagles;Penyerang
Jhon van Beukering;Pelita Jaya Jawa Barat;Penyerang
Jhon van Beukering;Feyenoord;Penyerang
Jhon van Beukering;Vitesse;Penyerang
Jimmy Suparno;Persela Lamongan;Gelandang
Jimmy Suparno;Persijap Jepara;Gelandang
Jimmy Suparno;Persipura Jayapura;Gelandang
Jimmy Suparno;Deltras Sidoarjo;Gelandang
Joey Suk;Go Ahead Eagles;Gelandang
Johan Ahmad Farizi;Arema Indonesia;Bek
Juan Revi;Arema Indonesia;Gelandang
Juan Revi;Deltras Sidoarjo;Gelandang
